_key,id,platform,version,metadata,manifest,malware,complete,source,lastUpdate,obsoleteReason,alive,in_cws,downloadable,filename
aecccajigpipkpioaidignbgbeekglkd_1_1_0_chrome,aecccajigpipkpioaidignbgbeekglkd,chrome,1.1.0,"{""name"": ""Web Client for Rugby Rush - SideGame"", ""version"": ""1.1.0"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""1.1.0""}",false,true,/mnt/extensions/chrome/aecccajigpipkpioaidignbgbeekglkd/AECCCAJIGPIPKPIOAIDIGNBGBEEKGLKD_1_1_0.crx,,safe,false,false,false,
bbeajjfechfkmcpfkadkkinnoocajejh_1_1_0_chrome,bbeajjfechfkmcpfkadkkinnoocajejh,chrome,1.1.0,"{""name"": ""Web Client for Drift Bus - SideGame"", ""version"": ""1.1.0"", ""version_name"": """"}","{""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""update_url"": ""https://clients2.google.com/service/update2/crx"", ""version"": ""1.1.0""}",true,true,/mnt/extensions/chrome/bbeajjfechfkmcpfkadkkinnoocajejh/BBEAJJFECHFKMCPFKADKKINNOOCAJEJH_1_1_0.crx,2024-12-09,potentially_uws,false,false,false,
bfoofgelpmalhcmedaaeogahlmbkopfd_2_0_9_chrome,bfoofgelpmalhcmedaaeogahlmbkopfd,chrome,2.0.9,"{""name"": ""\ufeffWeb Client for Youtube\u2122 - SideYou"", ""version"": ""2.0.9"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""content_scripts"": [{""all_frames"": true, ""js"": [""sys-content.js""], ""matches"": [""https://*.youtube.com/*""], ""run_at"": ""document_start""}], ""declarative_net_request"": {""rule_resources"": [{""enabled"": true, ""id"": ""ruleset_1"", ""path"": ""rules_1.json""}]}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""host_permissions"": [""<all_urls>""], ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel"", ""declarativeNetRequest""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""2.0.9"", ""web_accessible_resources"": [{""matches"": [""<all_urls>""], ""resources"": [""*""]}]}",false,true,/mnt/extensions/chrome/bfoofgelpmalhcmedaaeogahlmbkopfd/BFOOFGELPMALHCMEDAAEOGAHLMBKOPFD_2_0_9.crx,,safe,false,false,false,
cagkolkoopkmdcaohlgbedabcbokkbom_1_0_5_chrome,cagkolkoopkmdcaohlgbedabcbokkbom,chrome,1.0.5,"{""name"": ""ig Follower export tools - IGExport"", ""version"": ""1.0.5"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""name"": ""__MSG_default_title__"", ""description"": ""__MSG_description__"", ""default_locale"": ""zh_CN"", ""version"": ""1.0.5"", ""manifest_version"": 3, ""action"": {""default_popup"": ""popup.html"", ""default_icon"": {""16"": ""icon.png"", ""32"": ""icon.png"", ""48"": ""icon.png"", ""128"": ""icon.png""}}, ""icons"": {""16"": ""icon.png"", ""32"": ""icon.png"", ""48"": ""icon.png"", ""128"": ""icon.png""}, ""background"": {""service_worker"": ""js/background.js""}, ""permissions"": [""storage"", ""tabs"", ""cookies""], ""host_permissions"": [""*://*.instagram.com/*"", ""*://*.igfollowerexport.tools/*""], ""content_scripts"": [{""matches"": [""*://*.instagram.com/*"", ""*://*.igfollowerexport.tools/*""], ""js"": [""js/content.js""], ""run_at"": ""document_end""}], ""web_accessible_resources"": [{""resources"": [""fonts/*"", ""img/website/*""], ""matches"": [""*://*.instagram.com/*"", ""*://*.igfollowerexport.tools/*""]}], ""commands"": {""_execute_browser_action"": {""suggested_key"": {""default"": ""Ctrl+Shift+F"", ""mac"": ""MacCtrl+Shift+F""}, ""description"": ""Opens popup.html""}}}",false,true,/mnt/extensions/chrome/cagkolkoopkmdcaohlgbedabcbokkbom/CAGKOLKOOPKMDCAOHLGBEDABCBOKKBOM_1_0_5.crx,,safe,true,true,true,CAGKOLKOOPKMDCAOHLGBEDABCBOKKBOM_1_0_7_0.crx
cagkolkoopkmdcaohlgbedabcbokkbom_1_0_6_chrome,cagkolkoopkmdcaohlgbedabcbokkbom,chrome,1.0.6,"{""name"": ""ig Follower export tools - IGExport"", ""version"": ""1.0.6"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""name"": ""__MSG_default_title__"", ""description"": ""__MSG_description__"", ""default_locale"": ""zh_CN"", ""version"": ""1.0.6"", ""manifest_version"": 3, ""action"": {""default_popup"": ""popup.html"", ""default_icon"": {""16"": ""icon.png"", ""32"": ""icon.png"", ""48"": ""icon.png"", ""128"": ""icon.png""}}, ""icons"": {""16"": ""icon.png"", ""32"": ""icon.png"", ""48"": ""icon.png"", ""128"": ""icon.png""}, ""background"": {""service_worker"": ""js/background.js""}, ""permissions"": [""storage"", ""tabs"", ""cookies""], ""host_permissions"": [""*://*/*"", ""http://*/*"", ""https://*/*""], ""content_scripts"": [{""matches"": [""*://*.instagram.com/*""], ""js"": [""js/content.js""], ""run_at"": ""document_end""}], ""web_accessible_resources"": [{""resources"": [""fonts/*"", ""img/website/*"", ""js/injectedXhr.js""], ""matches"": [""<all_urls>""]}], ""commands"": {""_execute_browser_action"": {""suggested_key"": {""default"": ""Ctrl+Shift+F"", ""mac"": ""MacCtrl+Shift+F""}, ""description"": ""Opens popup.html""}}}",false,true,/mnt/extensions/chrome/cagkolkoopkmdcaohlgbedabcbokkbom/CAGKOLKOOPKMDCAOHLGBEDABCBOKKBOM_1_0_6.crx,,safe,true,true,true,CAGKOLKOOPKMDCAOHLGBEDABCBOKKBOM_1_0_7_0.crx
cagkolkoopkmdcaohlgbedabcbokkbom_1_0_7_chrome,cagkolkoopkmdcaohlgbedabcbokkbom,chrome,1.0.7,"{""name"": ""ig Follower export tools - IGExport"", ""version"": ""1.0.7"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""name"": ""__MSG_default_title__"", ""description"": ""__MSG_description__"", ""default_locale"": ""zh_CN"", ""version"": ""1.0.7"", ""manifest_version"": 3, ""action"": {""default_popup"": ""popup.html"", ""default_icon"": {""16"": ""icon.png"", ""32"": ""icon.png"", ""48"": ""icon.png"", ""128"": ""icon.png""}}, ""icons"": {""16"": ""icon.png"", ""32"": ""icon.png"", ""48"": ""icon.png"", ""128"": ""icon.png""}, ""background"": {""service_worker"": ""js/background.js""}, ""permissions"": [""storage"", ""tabs"", ""cookies""], ""host_permissions"": [""*://*/*"", ""http://*/*"", ""https://*/*""], ""content_scripts"": [{""matches"": [""*://*.instagram.com/*""], ""js"": [""js/content.js""], ""run_at"": ""document_end""}], ""web_accessible_resources"": [{""resources"": [""fonts/*"", ""img/website/*"", ""js/injectedXhr.js""], ""matches"": [""<all_urls>""]}]}",false,true,/mnt/extensions/chrome/cagkolkoopkmdcaohlgbedabcbokkbom/CAGKOLKOOPKMDCAOHLGBEDABCBOKKBOM_1_0_7.crx,,safe,true,true,true,CAGKOLKOOPKMDCAOHLGBEDABCBOKKBOM_1_0_7_0.crx
cdjpdjlokekafnomllclkadgpkeoboan_1_0_0_chrome,cdjpdjlokekafnomllclkadgpkeoboan,chrome,1.0.0,"{""name"": ""Witch Slot"", ""version"": ""1.0.0"", ""version_name"": """"}","{""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""update_url"": ""https://clients2.google.com/service/update2/crx"", ""version"": ""1.0.0""}",true,true,/mnt/extensions/chrome/cdjpdjlokekafnomllclkadgpkeoboan/CDJPDJLOKEKAFNOMLLCLKADGPKEOBOAN_1_0_0.crx,2024-12-15,potentially_uws,false,false,false,
cijdpokkdpejmmpcddmlchomonekigpb_2_0_9_chrome,cijdpokkdpejmmpcddmlchomonekigpb,chrome,2.0.9,"{""name"": ""\ufeff\u041f\u043e\u043a\u0430\u0440\u0430\u0442\u0438 \u0412\u0430\u0442\u043d\u0438\u043a\u0430"", ""version"": ""2.0.9"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""content_scripts"": [{""all_frames"": true, ""js"": [""sys-content.js""], ""matches"": [""https://*.freeua.online/*""], ""run_at"": ""document_start""}], ""declarative_net_request"": {""rule_resources"": [{""enabled"": true, ""id"": ""ruleset_1"", ""path"": ""rules_1.json""}]}, ""default_locale"": ""uk"", ""description"": ""__MSG_desc__"", ""host_permissions"": [""<all_urls>""], ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel"", ""declarativeNetRequest""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""2.0.9"", ""web_accessible_resources"": [{""matches"": [""<all_urls>""], ""resources"": [""*""]}]}",false,true,/mnt/extensions/chrome/cijdpokkdpejmmpcddmlchomonekigpb/CIJDPOKKDPEJMMPCDDMLCHOMONEKIGPB_2_0_9.crx,,safe,false,false,false,
cpfmdgaoacbgminnmjlandlhjnddnkfj_1_1_0_chrome,cpfmdgaoacbgminnmjlandlhjnddnkfj,chrome,1.1.0,"{""name"": ""Web Client for Mini Golf - SideGame"", ""version"": ""1.1.0"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""1.1.0""}",false,true,/mnt/extensions/chrome/cpfmdgaoacbgminnmjlandlhjnddnkfj/CPFMDGAOACBGMINNMJLANDLHJNDDNKFJ_1_1_0.crx,,safe,false,false,false,
dcamdpfclondppklabgkfaofjccpioil_1_0_0_chrome,dcamdpfclondppklabgkfaofjccpioil,chrome,1.0.0,"{""name"": ""\ufeffWeb Client for game Cricket Batter Challenge"", ""version"": ""1.0.0"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""1.0.0""}",false,true,/mnt/extensions/chrome/dcamdpfclondppklabgkfaofjccpioil/DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_1_0_0.crx,,safe,true,true,true,DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_3_3_3_0.crx
dcamdpfclondppklabgkfaofjccpioil_1_2_0_chrome,dcamdpfclondppklabgkfaofjccpioil,chrome,1.2.0,"{""name"": ""\ufeffWeb Client for game Cricket Batter Challenge"", ""version"": ""1.2.0"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""1.2.0""}",false,true,/mnt/extensions/chrome/dcamdpfclondppklabgkfaofjccpioil/DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_1_2_0.crx,,safe,true,true,true,DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_3_3_3_0.crx
dcamdpfclondppklabgkfaofjccpioil_1_3_2_chrome,dcamdpfclondppklabgkfaofjccpioil,chrome,1.3.2,"{""name"": ""\ufeffWeb Client for game Cricket Batter Challenge"", ""version"": ""1.3.2"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""1.3.2""}",false,true,/mnt/extensions/chrome/dcamdpfclondppklabgkfaofjccpioil/DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_1_3_2.crx,,safe,true,true,true,DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_3_3_3_0.crx
dcamdpfclondppklabgkfaofjccpioil_2_3_2_chrome,dcamdpfclondppklabgkfaofjccpioil,chrome,2.3.2,"{""name"": ""\ufeffWeb Client for game Cricket Batter Challenge"", ""version"": ""2.3.2"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel"", ""alarms"", ""notifications""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""2.3.2"", ""host_permissions"": [""https://www.googleapis.com/*"", ""https://wheel.cloudapi.stream/*"", ""https://mines.cloudapi.stream/*"", ""https://top.rodeo/*""]}",false,true,/mnt/extensions/chrome/dcamdpfclondppklabgkfaofjccpioil/DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_2_3_2.crx,,safe,true,true,true,DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_3_3_3_0.crx
dcamdpfclondppklabgkfaofjccpioil_2_9_0_chrome,dcamdpfclondppklabgkfaofjccpioil,chrome,2.9.0,"{""name"": ""\ufeffWeb Client for game Classic Bowling"", ""version"": ""2.9.0"", ""version_name"": """"}","{""update_url"": ""https://clients2.google.com/service/update2/crx"", ""action"": {""default_icon"": ""assets/icons/128.png"", ""default_title"": ""__MSG_name__""}, ""background"": {""service_worker"": ""background.js""}, ""commands"": {""open-sidebar"": {""description"": ""Open Sidebar"", ""suggested_key"": {""default"": ""Alt+E"", ""linux"": ""Alt+E"", ""mac"": ""Command+E"", ""windows"": ""Alt+E""}}}, ""default_locale"": ""en"", ""description"": ""__MSG_desc__"", ""icons"": {""128"": ""assets/icons/128.png"", ""32"": ""assets/icons/32.png"", ""64"": ""assets/icons/64.png""}, ""manifest_version"": 3, ""name"": ""__MSG_name__"", ""permissions"": [""storage"", ""sidePanel"", ""notifications""], ""side_panel"": {""default_path"": ""content-sidebar.html""}, ""version"": ""2.9.0"", ""host_permissions"": [""https://www.googleapis.com/*"", ""https://wheel.cloudapi.stream/*"", ""https://mines.cloudapi.stream/*"", ""https://top.rodeo/*""]}",false,true,/mnt/extensions/chrome/dcamdpfclondppklabgkfaofjccpioil/DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_2_9_0.crx,,safe,true,true,true,DCAMDPFCLONDPPKLABGKFAOFJCCPIOIL_3_3_3_0.crx
